artist_name,total_plays,total_minutes,skip_rate,loyalty_score
Anand Kashinath,65,170.08373333333333,0.27692307692307694,47.0
Andrea Jeremiah,1,0.0222166666666666,1.0,0.0
"Andrea, Kalyan",18,38.42041666666666,0.6666666666666666,6.000000000000001
Anirudh Ravichander,931,2369.8767,0.4113856068743287,548.0
"Anirudh Ravichander,Dhanush",1,2.39235,1.0,0.0
Ankit Tiwari,2,9.62255,0.5,1.0
Anna Marx,1,0.0596666666666666,1.0,0.0
Anne-Marie,78,160.25965,0.32051282051282054,53.0
Anudeep Dev,15,47.58723333333333,0.2,12.0
Anuj Gurwara,2,0.8613000000000001,1.0,0.0
Anurag Kulkarni,102,252.95746666666665,0.4411764705882353,57.0
Anurag Mishra,6,0.9079166666666665,1.0,0.0
Anurag Saikia,1,2.89275,1.0,0.0
Anuv Jain,3,0.9541166666666667,1.0,0.0
Arcade Player,4,0.7147499999999999,1.0,0.0
Arcade Wrld,9,13.567983333333332,0.3333333333333333,6.000000000000001
Arctic Monkeys,269,631.2728166666666,0.2936802973977695,190.00000000000003
Ari Abdul,64,161.66065,0.21875,50.0
Ariana Grande,48,108.60395,0.2916666666666667,34.0
Arijit Singh,118,316.97998333333334,0.4661016949152542,63.0
Arivu,1,0.6291666666666667,1.0,0.0
Arizona Zervas,22,37.80665,0.5454545454545454,10.0
Arjun Janya,1,1.8895,1.0,0.0
Arjun Kanungo,2,2.76185,0.0,2.0
Armaan Malik,54,101.99566666666666,0.5,27.0
Armonian,1,7.309633333333333,1.0,0.0
Artemas,11,9.310366666666667,0.6363636363636364,4.0
Asal Kolaar,43,93.70278333333333,0.20930232558139536,34.0
Ash King,3,7.626583333333333,0.3333333333333333,2.0
Asha Bhosle,18,21.562283333333333,0.9444444444444444,1.0000000000000004
Ashe,6,2.5209999999999995,1.0,0.0
Ashlynn Malia,1,1.0410833333333334,0.0,1.0
Ashnikko,37,65.6494,0.5135135135135135,18.0
Ashwin Adwani,1,0.1308333333333333,1.0,0.0
Astrid S,80,227.42968333333334,0.1875,65.0
Atif Aslam,8,21.118566666666666,0.25,6.0
Atis Freivalds,4,4.874266666666666,0.5,2.0
Au/Ra,2,4.386783333333333,0.5,1.0
August Alsina,67,238.60956666666664,0.1791044776119403,55.0
Augustana,1,2.4736666666666665,0.0,1.0
Azooz,27,30.6766,0.5925925925925926,11.0
B.I,30,71.9498,0.5,15.0
BANKS,1,1.11265,1.0,0.0
BIBI,1,2.75225,1.0,0.0
BLACKPINK,128,210.27411666666666,0.5234375,61.0
BTS,1948,4803.6162,0.3157084188911704,1333.0
BURY,4,5.24335,0.5,2.0
Baby Tate,33,48.73811666666666,0.24242424242424243,25.0
Backstreet Boys,12,5.698049999999999,0.8333333333333334,1.9999999999999996
Badshah,194,419.9504,0.27835051546391754,140.0
Bayaan,8,15.780899999999999,0.375,5.0
Bea Miller,12,10.225466666666666,0.75,3.0
Bebe Rexha,40,77.21943333333333,0.4,24.0
Becky G,43,104.57375,0.3023255813953488,30.0
